name,rank,careers_url
Stripe,1,https://stripe.com/jobs/search
Databricks,2,https://www.databricks.com/company/careers/open-positions
Canva,3,https://www.Canva.com/careers
Miro,4,https://www.Miro.com/careers
Figma,5,https://www.Figma.com/careers
Airtable,6,https://www.Airtable.com/careers
ServiceTitan,7,https://www.ServiceTitan.com/careers
Talkdesk,8,https://www.Talkdesk.com/careers
Plaid,9,https://www.Plaid.com/careers
Attentive,10,https://www.Attentive.com/careers
Celonis,11,https://www.celonis.com/careers/jobs/
Grammarly,12,https://www.Grammarly.com/careers
Zapier,13,https://www.Zapier.com/jobs
Gong,14,https://www.Gong.io/careers
Checkout,15,https://www.Checkout.com/careers
Checkr,16,https://checkr.com/company/careers/open-careers
Gusto,17,https://www.Gusto.com/careers
Klaviyo,18,https://www.Klaviyo.com/careers
Carta,19,https://www.Carta.com/careers
Snyk,20,https://boards.greenhouse.io/snyk
Calendly,21,https://www.Calendly.com/careers
Scale AI,22,https://www.Scale.com/careers
Notion,23,https://www.Notion.com/careers
OneTrust,24,https://www.OneTrust.com/careers
Tanium,25,https://www.Tanium.com/careers
DataRobot,26,https://www.DataRobot.com/careers
Fivetran,27,https://www.Fivetran.com/careers
Postman,28,https://www.Postman.com/careers
Collibra,29,https://www.Collibra.com/careers
Netskope,30,https://www.Netskope.com/careers
Rubrik,31,https://www.Rubrik.com/careers
Guild,32,https://www.guildeducation.com/about-us/careers/open-positions/
Cohesity,33,https://www.Cohesity.com/careers
LaunchDarkly,34,https://www.LaunchDarkly.com/careers
Intercom,35,https://www.Intercom.com/careers
Benchling,36,https://www.Benchling.com/careers
Grafana Labs,37,https://www.GrafanaLabs.com/careers
Contentful,38,https://www.Contentful.com/careers
Algolia,39,https://boards.greenhouse.io/algolia
Outreach,40,https://www.Outreach.io/careers
Forter,41,https://www.Forter.com/careers
Podium,42,https://www.Podium.com/careers
Automation Anywhere,43,https://www.automationanywhere.com/company/careers/all
OutSystems,44,https://www.OutSystems.com/careers
Cockroach Labs,45,https://www.CockroachLabs.com/careers
Automattic,46,https://automattic.com/work-with-us/
Workato,47,https://www.Workato.com/careers
Cloudinary,48,https://www.Cloudinary.com/careers
Razorpay,49,https://razorpay.com/jobs/jobs-all/?location=all&department=
Webflow,50,https://www.Webflow.com/careers
Yardi,51,https://careers.yardi.com/openings/
Yotpo,52,https://www.Yotpo.com/careers
Mambu,53,https://www.Mambu.com/careers
Dataminr,54,https://www.Dataminr.com/careers
Lacework,55,https://www.Lacework.com/careers
TripActions,56,https://www.TripActions.com/careers
MessageBird,57,https://www.MessageBird.com/careers
Lucid,58,https://boards.greenhouse.io/lucidsoftware
Chainalysis,59,https://www.Chainalysis.com/careers
ClickUp,60,https://www.ClickUp.com/careers
6sense,61,https://6sense.com/about-us/careers/join-us/
Lattice,62,https://www.Lattice.com/careers
Icertis,63,https://www.icertis.com/company/careers/
Rapyd,64,https://www.rapyd.net/company/careers-search/
Deel,65,https://jobs.ashbyhq.com/Deel
1Password,66,https://www.1Password.com/careers
Highspot,67,https://www.Highspot.com/careers
HiBob,68,https://www.HiBob.com/careers
Personio,69,https://www.Personio.com/careers
Motive,70,https://gomotive.com/company/careers/
Airwallex,71,https://www.Airwallex.com/careers
ThoughtSpot,72,https://www.ThoughtSpot.com/careers
ActiveCampaign,73,https://www.ActiveCampaign.com/careers
Papaya Global,74,https://www.PapayaGlobal.com/careers
Socure,75,https://www.Socure.com/careers
Rippling,76,https://www.Rippling.com/careers
Dataiku,77,https://www.Dataiku.com/careers
Aiven,78,https://aiven.io/careers
Dbt Labs,79,https://www.DbtLabs.com/careers
Sentry,80,https://sentry.io/careers/
Arctic Wolf,81,https://www.ArcticWolf.com/careers
Wiz,82,https://www.wiz.io/careers
Axonius,83,https://www.axonius.com/company/careers/open-jobs
Cedar,84,https://www.Cedar.com/careers
Shippo,85,https://goshippo.com/jobs/
Kong Inc,86,https://jobs.lever.co/kong
HighRadius,87,https://www.HighRadius.com/careers
Cybereason,88,https://www.Cybereason.com/careers
Alloy,89,https://www.alloy.com/about/careers
Branch,90,https://www.ourbranch.com/s/careers
Harness,91,https://www.harness.io/company/careers
Claroty,92,https://www.Claroty.com/careers
Seismic,93,https://www.Seismic.com/careers
Flutterwave,94,https://www.flutterwave.com/us/careers/vacancies
Vercel,95,https://www.Vercel.com/careers
Pendo,96,https://www.pendo.io/careers/
OwnBackup,97,https://www.OwnBackup.com/careers
Netlify,98,https://www.Netlify.com/careers
Mural,99,https://www.Mural.com/careers
Front,100,https://www.Front.com/careers
