Company,Role,Team,Location,Job_URL
Guild,"Director, Member Operations Data & Reporting (Remote)",Analytics & Insights,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4818726
Guild,"Lead Analyst, Employer Analytics (Remote)",Analytics & Insights,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4885432
Guild,"Principal, Solution Design (Healthcare) - (Remote)",Employer Experience,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4689901
Guild,Solution Design Director (Healthcare) - (Remote),Employer Experience,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4811081
Guild,Senior Forecast Modeling Manager (Remote),Finance & Accounting,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4693705
Guild,Senior Legal Counsel (Remote) ,Legal,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4731164
Guild,"Principal, Implementation Delivery (Remote)",Marketplace Operations,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=3090048
Guild,Member Support Specialist I (Bilingual),Member Services,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4858529
Guild,"Vice President, Talent Acquisition (Remote)",People,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4787574
Guild,Social Media & Influencer Marketing Director (Remote),PR & Communications,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4830872
Guild,Chief Product and Technology Officer (Remote),Product,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4423045
Guild,"Senior Product Manager, Identity (Remote)",Product,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4738199
Guild,"Principal Engineer, Prototyping (Remote)",Technology,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4844205
Guild,Senior Backend Software Engineer,Technology,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4854888
Guild,Senior Software Engineer,Technology,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4888029
Guild,Senior Software Engineer (Front-End),Technology,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4887998
Guild,"Senior Software Engineer II, Software Engineering ",Technology,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4889061
Guild,Software Architect (Customer Engagement) ,Technology,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4857912
Guild,Software Architect (Infrastructure) (Remote),Technology,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4733131
Guild,Staff Data Engineer (Remote),Technology,United States,https://www.guildeducation.com/about-us/careers/open-positions/?gh_jid=4583292
